id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
168,2023-08-14 04:44:25.712510,4.9,3.1,1.5,0.2,0
167,2023-08-14 04:44:24.699759,6.2,2.2,4.5,1.5,1
166,2023-08-14 04:44:23.664223,6.4,2.8,5.6,2.2,2
165,2023-08-14 04:44:22.638385,4.6,3.4,1.4,0.3,0
164,2023-08-14 04:44:21.607944,5.8,2.7,5.1,1.9,2
163,2023-08-14 04:44:20.581707,5.6,2.5,3.9,1.1,1
162,2023-08-14 04:44:19.571169,5.5,4.2,1.4,0.2,0
161,2023-08-14 04:44:18.538988,5.1,3.3,1.7,0.5,0
160,2023-08-14 04:44:17.514428,7.7,3.0,6.1,2.3,2
159,2023-08-14 04:44:16.499580,6.9,3.1,5.1,2.3,2
158,2023-08-14 04:44:15.484584,5.9,3.0,5.1,1.8,2
157,2023-08-14 04:44:14.467731,5.1,3.4,1.5,0.2,0
156,2023-08-14 04:44:13.453301,4.6,3.4,1.4,0.3,0
155,2023-08-14 04:44:12.438432,5.0,3.6,1.4,0.2,0
154,2023-08-14 04:44:11.424028,6.3,2.8,5.1,1.5,2
153,2023-08-14 04:44:10.404291,5.2,3.4,1.4,0.2,0
152,2023-08-14 04:44:09.390754,6.2,2.9,4.3,1.3,1
151,2023-08-14 04:44:08.372376,7.9,3.8,6.4,2.0,2
150,2023-08-14 04:44:07.359291,6.5,3.0,5.5,1.8,2
149,2023-08-14 04:44:06.344592,4.6,3.4,1.4,0.3,0
148,2023-08-14 04:44:05.328859,7.2,3.6,6.1,2.5,2
147,2023-08-14 04:44:04.305655,5.0,3.5,1.3,0.3,0
146,2023-08-14 04:44:03.294135,4.6,3.2,1.4,0.2,0
145,2023-08-14 04:44:02.282450,5.2,2.7,3.9,1.4,1
144,2023-08-14 04:44:01.264526,6.1,3.0,4.9,1.8,2
143,2023-08-14 04:44:00.242774,5.4,3.9,1.7,0.4,0
142,2023-08-14 04:43:59.222667,5.7,4.4,1.5,0.4,0
141,2023-08-14 04:43:58.211579,4.9,3.6,1.4,0.1,0
140,2023-08-14 04:43:57.192353,6.0,3.0,4.8,1.8,2
139,2023-08-14 04:43:56.174170,6.7,3.1,4.4,1.4,1
138,2023-08-14 04:43:55.159358,6.0,2.2,5.0,1.5,2
137,2023-08-14 04:43:54.143659,6.6,2.9,4.6,1.3,1
136,2023-08-14 04:43:53.133031,5.5,2.4,3.7,1.0,1
135,2023-08-14 04:43:52.117398,5.5,4.2,1.4,0.2,0
134,2023-08-14 04:43:51.092799,7.7,2.6,6.9,2.3,2
133,2023-08-14 04:43:50.075689,6.5,3.0,5.2,2.0,2
132,2023-08-14 04:43:49.062303,7.2,3.0,5.8,1.6,2
131,2023-08-14 04:43:48.043240,6.5,3.0,5.2,2.0,2
130,2023-08-14 04:43:47.027394,6.4,2.8,5.6,2.1,2
129,2023-08-14 04:43:46.015406,6.7,3.1,4.7,1.5,1
128,2023-08-14 04:43:44.995733,4.8,3.4,1.9,0.2,0
127,2023-08-14 04:43:43.970018,6.0,2.2,4.0,1.0,1
126,2023-08-14 04:43:42.942915,5.6,2.9,3.6,1.3,1
125,2023-08-14 04:43:41.909209,5.4,3.7,1.5,0.2,0
124,2023-08-14 04:43:40.895377,7.7,2.6,6.9,2.3,2
123,2023-08-14 04:43:39.882124,5.0,3.0,1.6,0.2,0
122,2023-08-14 04:43:38.866808,4.4,3.0,1.3,0.2,0
121,2023-08-14 04:43:37.847417,6.4,3.2,5.3,2.3,2
120,2023-08-14 04:43:36.829887,6.2,2.9,4.3,1.3,1
119,2023-08-14 04:43:35.817384,4.8,3.0,1.4,0.3,0
118,2023-08-14 04:43:34.806200,5.9,3.0,5.1,1.8,2
117,2023-08-14 04:43:33.786774,6.4,3.1,5.5,1.8,2
116,2023-08-14 04:43:32.774119,4.9,3.1,1.5,0.2,0
115,2023-08-14 04:43:31.759669,5.0,3.5,1.6,0.6,0
114,2023-08-14 04:43:30.742299,5.5,2.4,3.8,1.1,1
113,2023-08-14 04:43:29.721094,6.4,2.8,5.6,2.2,2
